carrier,flight_number,from city,gate,status,scheduled_time,updated_time
Air Canada,4295,Austin| TX,Term 1 - B2,Scheduled,2020-07-23 13:04:00,2020-07-23 13:08:00
Aer Lingus,6263,Austin| TX,Term 1 - B2,Scheduled,2020-07-23 13:04:00,2020-07-23 13:08:00
Lufthansa,7685,Austin| TX,Term 1 - B2,Scheduled,2020-07-23 13:04:00,2020-07-23 13:08:00
Aer Lingus,6544,Grand Rapids| MI,Term 2 - F6,Scheduled,2020-07-23 13:05:00,2020-07-23 13:05:00
Air New Zealand,2150,Charleston| SC,Term 1 - C27,Scheduled,2020-07-23 13:06:00,2020-07-23 13:06:00
Air Canada,4570,Charleston| SC,Term 1 - C27,Scheduled,2020-07-23 13:06:00,2020-07-23 13:06:00
Lufthansa,8567,Charleston| SC,Term 1 - C27,Scheduled,2020-07-23 13:06:00,2020-07-23 13:06:00
Scandinavian Airlines,9824,Omaha| NE,Term 1 - B1,Scheduled,2020-07-23 13:07:00,2020-07-23 13:07:00
United Airlines,4406,Madison| WI,Term 2 - F27,Scheduled,2020-07-23 13:08:00,2020-07-23 13:08:00
Lufthansa,8995,Madison| WI,Term 2 - F27,Scheduled,2020-07-23 13:08:00,2020-07-23 13:08:00
Air Canada,4576,Salt Lake City| UT,Term 1 - B21,Scheduled,2020-07-23 13:09:00,2020-07-23 13:06:00
Aer Lingus,6365,Salt Lake City| UT,Term 1 - B21,Scheduled,2020-07-23 13:09:00,2020-07-23 13:06:00
Lufthansa,9023,Salt Lake City| UT,Term 1 - B21,Scheduled,2020-07-23 13:09:00,2020-07-23 13:06:00
Lufthansa,9147,San Diego| CA,Term 1 - B11,In Air,2020-07-23 13:10:00,2020-07-23 12:41:00
Aer Lingus,6317,Louisville| KY,Term 2 - F23,Scheduled,2020-07-23 13:11:00,2020-07-23 13:11:00
SWISS,3295,Seattle| WA,Term 1 - B4,In Air,2020-07-23 13:12:00,2020-07-23 12:54:00
Air Canada,5030,Los Angeles| CA,Term 1 - C9,In Air,2020-07-23 13:12:00,2020-07-23 13:04:00
United Airlines,5144,Decatur| IL,Term 2 - E10,Scheduled,2020-07-23 13:14:00,2020-07-23 13:14:00
